Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
86.175541493,0,85,700000000,map,0.012765523602987838,-0.0018575886704669967,0.0,0.0,0.0,8.560345123093127e-05,0.9999999963360245,"(0.2470653041573616, 0.0019165315976033225, 0.0, 0.0, 0.0, 0.0, 0.0019165315976033246, 0.24600273131249162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06848905809146005)"
93.853133262,1,93,840000000,map,0.23523761214585548,-0.05246507130153526,0.0,0.0,0.0,-0.024185441583218722,0.9997074894264946,"(0.1716251425367091, -0.005280004125675173, 0.0, 0.0, 0.0, 0.0, -0.005280004125675166, 0.10005106262977068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03717157723881576)"
97.696031789,2,97,680000000,map,0.7107154262649614,-0.0651017543316308,0.0,0.0,0.0,-0.02476635490167509,0.9996932667898111,"(0.195753805739175, -0.006844230282310647, 0.0, 0.0, 0.0, 0.0, -0.00684423028231064, 0.026525725268955646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01836323557182962)"
100.077305207,3,100,60000000,map,1.1606052641507676,-0.07668153918989504,0.0,0.0,0.0,-0.01503396614872415,0.99988698354456,"(0.22512030604484967, -0.004033856818789969, 0.0, 0.0, 0.0, 0.0, -0.004033856818789969, 0.009429277669787845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008073229675809732)"
102.630720919,4,102,620000000,map,1.6447089567763324,-0.09095753839704242,0.0,0.0,0.0,-0.01625323646703941,0.9998679074279495,"(0.26850317863371487, -0.0020219443469740306, 0.0, 0.0, 0.0, 0.0, -0.0020219443469740306, 0.0047191815217209315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003806287356243575)"
104.203637192,5,104,200000000,map,2.2023121752276693,-0.10952862592211558,0.0,0.0,0.0,-0.018597126506776095,0.9998270584884623,"(0.33480359440133256, -0.0013071421963001817, 0.0, 0.0, 0.0, 0.0, -0.0013071421963001817, 0.0028762727668304976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002316068680930562)"
106.381698811,6,106,380000000,map,2.8410168772546154,-0.02970867523881003,0.0,0.0,0.0,0.2869576714320282,0.9579432628325689,"(0.37747011434261246, 0.003945881621119557, 0.0, 0.0, 0.0, 0.0, 0.003945881621119571, 0.003370607573900599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024193235631254214)"
108.39793613,7,108,400000000,map,3.5850949395900313,0.25037964831920567,0.0,0.0,0.0,0.30483567831324265,0.9524049607322009,"(0.21841068317465684, 0.0039006696876783264, 0.0, 0.0, 0.0, 0.0, 0.0039006696876783264, 0.0044703524093077235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002240284997331179)"
110.777991509,8,110,780000000,map,3.958169278000326,0.667998556686044,0.0,0.0,0.0,0.6835766729451598,0.7298787106124044,"(0.030928303492348874, -0.0002898070864763014, 0.0, 0.0, 0.0, 0.0, -0.0002898070864763014, 0.007776266150993583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0036406487953461)"
113.097329505,9,113,100000000,map,3.949596929907495,1.0854900066992141,0.0,0.0,0.0,0.6883243059936779,0.7254030946848253,"(0.014912886376487577, -0.0008172610941254987, 0.0, 0.0, 0.0, 0.0, -0.0008172610941246106, 0.008578303135472698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002708049815785843)"
114.800961879,10,114,800000000,map,3.9938112679420485,1.5082647601567631,0.0,0.0,0.0,0.6780653215342686,0.7350016460747751,"(0.007104005749653197, -0.001294426813123195, 0.0, 0.0, 0.0, 0.0, -0.001294426813123195, 0.007889828539466404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002081026424568679)"
116.574763803,11,116,580000000,map,4.0017815408032025,1.9342540255176623,0.0,0.0,0.0,0.7777449722060654,0.628579953711687,"(0.004279607567351462, -0.0015355132954031347, 0.0, 0.0, 0.0, 0.0, -0.0015355132954031347, 0.006891854638830797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016835081511839566)"
